name,scientific,image
Grey-headed Bushshrike,Malaconotus blanchoti,https://birda.twic.pics/species/c4b6b608-8300-494b-b4a5-1d44728eeef1/reference_images/Grey-headed_Bushshrike.jpg
Marsh Tchagra,Bocagia minuta,N/A
Olive Bushshrike,Chlorophoneus olivaceus,N/A
Orange-breasted Bushshrike,Chlorophoneus sulfureopectus,N/A
Southern Boubou,Laniarius ferrugineus,https://birda.twic.pics/species/08fd4467-755d-434e-9529-ce321ed9c707/reference_images/Southern_Boubou_-_Adult.jpg
Southern Tchagra,Tchagra tchagra,https://birda.twic.pics/species/a71a6303-b68a-47df-ac95-c37e9cebed17/reference_images/Southern_Tchargra.jpg
Swamp Boubou,Laniarius bicolor,https://birda.twic.pics/species/f42b1e30-c60a-43d4-9055-e77c4321a508/reference_images/Swamp_Boubou.jpg
Tropical Boubou,Laniarius major,N/A
Black-bellied Bustard,Lissotis melanogaster,https://birda.twic.pics/species/2008d859-53be-46a6-9605-b294d9cf2e39/reference_images/Black-bellied_Bustard-_Male.jpg
Blue Korhaan,Eupodotis caerulescens,N/A
Denham's Bustard,Neotis denhami,https://birda.twic.pics/species/8a6fd42c-4036-4555-845f-adcdfc076d96/reference_images/Denhams_Bustard-_Male.jpg
Karoo Korhaan,Eupodotis vigorsii,https://birda.twic.pics/species/8841b833-a5f3-4acf-b3a4-b09082b04c81/reference_images/Karoo_Korhaan.jpg
Kori Bustard,Ardeotis kori,https://birda.twic.pics/species/56835cd0-b5ec-4191-afca-fff0259d65be/reference_images/Koi_Bustard.jpg
Ludwig's Bustard,Neotis ludwigii,https://birda.twic.pics/species/52fab9c8-9155-44d4-876e-8c5107ac27f8/reference_images/Ludwigs_Bustard-_Male.jpg
Northern Black Korhaan,Afrotis afraoides,https://birda.twic.pics/species/7b89a181-fc57-45ae-b752-015bb3079473/reference_images/Northern_Black_Korhaan-_Male.jpg
Red-crested Korhaan,Lophotis ruficrista,https://birda.twic.pics/species/b12d7c3f-a6c1-4f9c-ac27-09fd5100e562/reference_images/Red-crested_Korhaan-_Male.jpg
Rüppell's Korhaan,Eupodotis rueppelii,https://birda.twic.pics/species/cf45ef14-d3c6-49a7-92a3-a508daa8aa71/reference_images/Ruppells_Korhaan-_Male.jpg
Southern Black Korhaan,Afrotis afra,https://birda.twic.pics/species/ec025501-6c81-437d-a760-adc3c0c4d52c/reference_images/Southern_Blck_Korhaan-_Male.jpg
White-bellied Bustard,Eupodotis senegalensis,https://birda.twic.pics/species/2d80dc75-45c0-4030-a2ce-ebca7b8fdafc/reference_images/White-bellied_Bustard-_Male.jpg
Black-rumped Buttonquail,Turnix nanus,N/A
Common Buttonquail,Turnix sylvaticus,N/A
Fynbos Buttonquail,Turnix hottentottus,N/A
African Hobby,Falco cuvierii,https://birda.twic.pics/species/120bca99-014f-4fbc-bfea-277e8c981785/reference_images/African_Hobby.jpg
Amur Falcon,Falco amurensis,https://birda.twic.pics/species/918ba15d-ba4f-4a09-bc42-ba13502a1f67/reference_images/Amur_Falcon-_Male.jpg
Dickinson's Kestrel,Falco dickinsoni,https://birda.twic.pics/species/80251084-32f3-42e5-baf4-c11593e6d1f6/reference_images/Dickinsons_Kestrel.jpg
Eleonora's Falcon,Falco eleonorae,https://birda.twic.pics/species/f0c05774-0643-49de-b765-3137fdf2e193/reference_images/Eleonoras_Falcon-_Flying.jpg
Greater Kestrel,Falco rupicoloides,https://birda.twic.pics/species/5dbccf2f-b88c-4dd5-9fa1-ec97b9cf5319/reference_images/Greater_Kestrel.jpg
Grey Kestrel,Falco ardosiaceus,https://birda.twic.pics/species/f76fdb2d-b4ba-4943-9ec4-4afe6aab87d3/reference_images/Grey_Kestrel-_Flying.jpg
Hobby,Falco subbuteo,https://birda.twic.pics/species/a52c7005-b28b-4edf-bfd6-c6a5784be77a/reference_images/Eurasian_Hobby_-_Adult_-_Perched.jpg
Lanner Falcon,Falco biarmicus,https://birda.twic.pics/species/b7788035-d571-4a49-b894-6db533a662ef/reference_images/Lanner_Falcon-_Flying-_New.jpg
Lesser Kestrel,Falco naumanni,https://birda.twic.pics/species/f442edf4-7ff2-4d12-8220-1f15d343b01d/reference_images/Lesser_Kestrel_-_Male_-_Flying.jpg
Peregrine,Falco peregrinus,https://birda.twic.pics/species/968d43a6-b497-4221-b70e-edaabdfc1c4d/reference_images/Peregrine_Falcon_-_Standing.jpg
Pygmy Falcon,Polihierax semitorquatus,https://birda.twic.pics/species/023efe82-923f-4d60-9ed3-0db88d47ecb1/reference_images/Pygmy_Falcon-_Male.jpg
Red-footed Falcon,Falco vespertinus,https://birda.twic.pics/species/39078667-aee1-4fa0-88e6-8879b547cae3/reference_images/Red-footed_Falcon_-_Male_-_Flying.jpg
Red-necked Falcon,Falco chicquera,https://birda.twic.pics/species/948b8280-2a9a-4e82-94bf-f63f36892ffb/reference_images/Red-necked_Falcon-_Flying.jpg
Red-necked Falcon,Falco chicquera,https://birda.twic.pics/species/948b8280-2a9a-4e82-94bf-f63f36892ffb/reference_images/Red-necked_Falcon-_Flying.jpg
Red-necked Falcon,Falco chicquera,https://birda.twic.pics/species/948b8280-2a9a-4e82-94bf-f63f36892ffb/reference_images/Red-necked_Falcon-_Flying.jpg
Rock Kestrel,Falco rupicolus,https://birda.twic.pics/species/d24a9c32-993f-46a6-b83a-9d22327779e7/reference_images/Rock_Kestrel.jpg
Sooty Falcon,Falco concolor,N/A
Taita Falcon,Falco fasciinucha,N/A
African Dusky Flycatcher,Muscicapa adusta,https://birda.twic.pics/species/d659a365-82bf-4e0d-914f-e66299aba855/reference_images/African_Dusky_Flycatcher.jpg
African Stonechat,Saxicola torquatus,https://birda.twic.pics/species/25c21d97-d390-4fa2-b502-e7f0a4beb3f0/reference_images/African_Stonechat_-_Male.jpg
Angolan Cave Chat,Xenocopsychus ansorgei,https://birda.twic.pics/species/da62bfa4-122c-4658-88b4-fb5153bca79c/reference_images/Angolan_Cave_Chat.jpg
Ant-eating Chat,Myrmecocichla formicivora,https://birda.twic.pics/species/04ef3cf7-d91c-4524-92f3-ae7259c14896/reference_images/Ant-eating_Chat-_Male_.jpg
Arnot's Chat,Myrmecocichla arnotti,https://birda.twic.pics/species/aa03f501-dc23-4862-af19-f7db37ac499c/reference_images/Arnots_Chat-_Male.jpg
Ashy Flycatcher,Muscicapa caerulescens,https://birda.twic.pics/species/e4d87cca-e426-42e2-a3fc-7025f92d2a57/reference_images/Ashy_Flycatcher.jpg
Bearded Scrub Robin,Cercotrichas quadrivirgata,https://birda.twic.pics/species/714c24c5-548b-44cb-89fa-3ab2e9f2aec7/reference_images/Bearded_Scrub-robin.jpg
Brown Scrub Robin,Cercotrichas signata,N/A
Buff-streaked Chat,Campicoloides bifasciatus,https://birda.twic.pics/species/7d43e891-0322-478d-96a4-dae4a5196cc0/reference_images/Buff-streaked_Chat-_Male.jpg
Cape Robin-Chat,Cossypha caffra,https://birda.twic.pics/species/329612a0-26b1-4924-80d3-c38e206028cf/reference_images/Cape_Robin-Chat_-_Adult.jpg
Cape Rock Thrush,Monticola rupestris,https://birda.twic.pics/species/bcf55046-c22d-4c7f-bb81-51954339d76d/reference_images/Cape_Rock_Thrush-_Male.jpg
Capped Wheatear,Oenanthe pileata,https://birda.twic.pics/species/ede81582-3c65-4359-a2c9-83e00e3aad89/reference_images/Capped_Wheatear.jpg
Chat Flycatcher,Melaenornis infuscatus,https://birda.twic.pics/species/c2eac793-71fc-4741-acf2-6b122bd12016/reference_images/Chat_Flycatcher.jpg
Chorister Robin-Chat,Cossypha dichroa,https://birda.twic.pics/species/b33f3474-2956-43b0-8977-15ce93b1affb/reference_images/Chorister_Robin-chat.jpg
Collared Flycatcher,Ficedula albicollis,https://birda.twic.pics/species/18b74fbd-0a19-49de-8d44-5f10bb4c6b32/reference_images/Collared_Flycatcher-_Male.jpg
Collared Palm Thrush,Cichladusa arquata,https://birda.twic.pics/species/a3e45703-1c40-48ce-a70d-c4f713192b04/reference_images/Collared_Palm_Thrush.jpg
East Coast Akalat,Sheppardia gunningi,N/A
Familiar Chat,Oenanthe familiaris,https://birda.twic.pics/species/04079090-8bfa-41b8-aea1-47ab8372fa78/reference_images/Familiar_Chat.jpg
Fiscal Flycatcher,Melaenornis silens,https://birda.twic.pics/species/8716aeb9-b230-4e6f-b015-30cb8cec600b/reference_images/Fiscal_Flycatcher-_Male_.jpg
Grey Tit-Flycatcher,Myioparus plumbeus,N/A
Herero Chat,Namibornis herero,N/A
Isabelline Wheatear,Oenanthe isabellina,https://birda.twic.pics/species/025c2099-61d0-400a-bdef-3d3f6e991c9c/reference_images/Isabelline_Wheatear.jpg
Kalahari Scrub Robin,Cercotrichas paena,https://birda.twic.pics/species/2d5d497b-c174-4825-975f-670f3f70c5da/reference_images/Kalahari_Scrub_Robin.jpg
Karoo Chat,Emarginata schlegelii,N/A
Karoo Scrub Robin,Cercotrichas coryphoeus,https://birda.twic.pics/species/1c891bc1-68b7-45a8-a703-564d69102ba7/reference_images/Karoo_Scrub_Robin.jpg
Marico Flycatcher,Melaenornis mariquensis,https://birda.twic.pics/species/cb404195-d16b-466f-b803-692f8acf0891/reference_images/Marico_Flycatcher.jpg
Mediterranean Flycatcher,Muscicapa tyrrhenica,https://birda.twic.pics/species/6c4e29e7-8b2d-4a7d-b996-f942507fb37f/reference_images/Mediterranean_Flycatcher-_New.jpg
Miombo Rock Thrush,Monticola angolensis,N/A
Mocking Cliff Chat,Thamnolaea cinnamomeiventris,https://birda.twic.pics/species/138530d9-bc2d-4c35-bb3e-a19571a9e3a9/reference_images/Mocking_Cliff_Chat-_Male.jpg
Mountain Wheatear,Myrmecocichla monticola,https://birda.twic.pics/species/c42ba9b9-630f-4096-9db6-a7c4e4007eba/reference_images/Mountain_Wheatear-_Male.jpg
Pale Flycatcher,Melaenornis pallidus,N/A
Pied Flycatcher,Ficedula hypoleuca,https://birda.twic.pics/species/fafe083d-3627-44fb-b7a1-7eb86482536d/reference_images/European_Pied_Flycatcher_-_Male.jpg
Pied Wheatear,Oenanthe pleschanka,https://birda.twic.pics/species/0fddab01-4a2c-4662-b531-1197bc6e6bd0/reference_images/Pied_Wheatear_-_Male.jpg
Red-capped Robin-Chat,Cossypha natalensis,https://birda.twic.pics/species/a3140fb1-f438-4884-99a4-4200be25fda4/reference_images/Red-capped_Robin-Chat_-_Adult.jpg
Redstart,Phoenicurus phoenicurus,https://birda.twic.pics/species/13da3581-cf90-4bed-9ae5-c61cdba9ee92/reference_images/Common_Redstart_-_Male.jpg
Rufous-tailed Palm Thrush,Cichladusa ruficauda,https://birda.twic.pics/species/5070dfb7-1acf-4d2e-9dc6-0fc2073dc834/reference_images/Rufous-tailed_Palm_Thrush.jpg
Rufous-tailed Scrub Robin,Cercotrichas galactotes,https://birda.twic.pics/species/0761f204-bcfe-46b0-b2da-738c945e5e9e/reference_images/Rufous-tailed_Scrub_Robin.jpg
Sentinel Rock Thrush,Monticola explorator,N/A
Short-toed Rock Thrush,Monticola brevipes,https://birda.twic.pics/species/8218e7be-8b0e-4259-9061-d6e1f0657b7b/reference_images/Short-toed_Rock-thrush-_Male.jpg
Sickle-winged Chat,Emarginata sinuata,https://birda.twic.pics/species/25caec36-58b7-422f-ab7d-1e5d5521efcc/reference_images/Sickle-winged_Chat.jpg
Southern Black Flycatcher,Melaenornis pammelaina,https://birda.twic.pics/species/661d5e78-d2b8-4f36-aee9-787e1c9bd9eb/reference_images/Southern_Black_Flycatcher_-_Adult.jpg
Spotted Flycatcher,Muscicapa striata,https://birda.twic.pics/species/a87cf477-961c-4e96-883e-67f209db926b/reference_images/Spotted_Flycatcher.jpg
Swynnerton's Robin,Swynnertonia swynnertoni,N/A
Thrush Nightingale,Luscinia luscinia,https://birda.twic.pics/species/90416342-1a7e-44e4-b4cd-b5897a1a5777/reference_images/Thrush_Nightingale.jpg
Tractrac Chat,Emarginata tractrac,https://birda.twic.pics/species/9e957dc0-760c-473c-bdb7-0514f2a6403c/reference_images/Tractrac_Chat.jpg
Wheatear,Oenanthe oenanthe,https://birda.twic.pics/species/3fc55784-91e9-42f6-a1b9-6ebc24c86783/reference_images/Northern_Wheatear_-_Male.jpg
Whinchat,Saxicola rubetra,https://birda.twic.pics/species/d2e1b56c-ddd8-4fcb-bac0-3e454d3b8545/reference_images/Whinchat_-_Male.jpg
White-browed Robin-Chat,Cossypha heuglini,https://birda.twic.pics/species/d44d27de-b891-45fb-86c0-3e22f648cca6/reference_images/White-browed_Robin-chat.jpg
White-browed Scrub Robin,Cercotrichas leucophrys,https://birda.twic.pics/species/736a518a-9b5f-4dae-b57f-e008e8a81ebf/reference_images/White-browed_Scrub_Robin.jpg
White-chested Alethe,Chamaetylas fuelleborni,N/A
White-starred Robin,Pogonocichla stellata,https://birda.twic.pics/species/767675cc-b237-490f-90f8-b378ff2780b6/reference_images/White-starred_Robin.jpg
White-throated Robin,Irania gutturalis,https://birda.twic.pics/species/f0a1e78e-0f34-4e88-8805-8dd00ac02fdc/reference_images/White-throated_Robin-_Male.jpg
White-throated Robin-Chat,Cossypha humeralis,https://birda.twic.pics/species/2f0b8842-d98e-49e1-8fad-c61d2ae68574/reference_images/White-throated_Robin-chat.jpg
Barred Wren-Warbler,Calamonastes fasciolatus,N/A
Bar-throated Apalis,Apalis thoracica,https://birda.twic.pics/species/358be887-b4ec-458c-98b6-0d93b20ab3fb/reference_images/Bar-throated_Apalis.jpg
Black-chested Prinia,Prinia flavicans,https://birda.twic.pics/species/c82d55db-77be-45cb-a988-6a233f860471/reference_images/Black-chested_Prinia-_Breeding.jpg
Black-headed Apalis,Apalis melanocephala,N/A
Burnt-necked Eremomela,Eremomela usticollis,N/A
Chirinda Apalis,Apalis chirindensis,N/A
Chirping Cisticola,Cisticola pipiens,N/A
Cinnamon-breasted Warbler,Euryptila subcinnamomea,https://birda.twic.pics/species/6f85f502-bac2-4d14-80d8-29db5cf388f5/reference_images/Cinnamon-breasted_Warbler.jpg
Cloud Cisticola,Cisticola textrix,N/A
Croaking Cisticola,Cisticola natalensis,https://birda.twic.pics/species/ea17bd48-b004-41e2-9ab0-234343d44bc2/reference_images/Croaking_Cisticola.jpg
Desert Cisticola,Cisticola aridulus,N/A
Drakensberg Prinia,Prinia hypoxantha,N/A
Fan-tailed Warbler,Cisticola juncidis,https://birda.twic.pics/species/8d609c8f-3c4c-40d0-a092-e31ee2861f83/reference_images/Zitting_Cisticola.jpg
Green-backed Camaroptera,Camaroptera brachyura,https://birda.twic.pics/species/04375aed-079b-4f8a-8d55-f6f468f04370/reference_images/Green-backed_Camaroptera.jpg
Green-capped Eremomela,Eremomela scotops,N/A
Grey-backed Camaroptera,Camaroptera brevicaudata,https://birda.twic.pics/species/7e491100-5fd3-4349-b8c6-90c3cbcdc0b1/reference_images/Grey-backed_Camaroptera.jpg
Grey-backed Cisticola,Cisticola subruficapilla,N/A
Karoo Eremomela,Eremomela gregalis,N/A
Karoo Prinia,Prinia maculosa,https://birda.twic.pics/species/43e5eb9e-0499-4ba0-b454-2f67e3632814/reference_images/Karoo_Prinia.jpg
Lazy Cisticola,Cisticola aberrans,N/A
Levaillant's Cisticola,Cisticola tinniens,https://birda.twic.pics/species/608d051c-9e24-4f59-b8b5-9b8e05be0e55/reference_images/Levaillants_Cisticola_-_Adult.jpg
Luapula Cisticola,Cisticola luapula,N/A
