common_name,scientific_name,family
Marabou Stork,Leptoptilos crumenifer,Ciconiidae (Storks)
Yellow-billed Stork,Mycteria ibis,Ciconiidae (Storks)
African Openbill,Anastomus lamelligerus,Ciconiidae (Storks)
Black Stork,Ciconia nigra,Ciconiidae (Storks)
Abdim's Stork,Ciconia abdimii,Ciconiidae (Storks)
African Woollyneck,Ciconia microscelis,Ciconiidae (Storks)
White Stork,Ciconia ciconia,Ciconiidae (Storks)
Saddle-billed Stork,Ephippiorhynchus senegalensis,Ciconiidae (Storks)
African Spoonbill,Platalea alba,"Threskiornithidae (Ibises, Spoonbills)"
African Sacred Ibis,Threskiornis aethiopicus,"Threskiornithidae (Ibises, Spoonbills)"
Southern Bald Ibis,Geronticus calvus,"Threskiornithidae (Ibises, Spoonbills)"
Hadada Ibis,Bostrychia hagedash,"Threskiornithidae (Ibises, Spoonbills)"
Glossy Ibis,Plegadis falcinellus,"Threskiornithidae (Ibises, Spoonbills)"
Eurasian Bittern,Botaurus stellaris,Ardeidae (Herons)
Common Little Bittern,Ixobrychus minutus,Ardeidae (Herons)
Dwarf Bittern,Ixobrychus sturmii,Ardeidae (Herons)
White-backed Night Heron,Calherodius leuconotus,Ardeidae (Herons)
Black-crowned Night Heron,Nycticorax nycticorax,Ardeidae (Herons)
Green-backed Heron,Butorides striata,Ardeidae (Herons)
Squacco Heron,Ardeola ralloides,Ardeidae (Herons)
Rufous-bellied Heron,Ardeola rufiventris,Ardeidae (Herons)
Cattle Egret,Bubulcus ibis,Ardeidae (Herons)
Grey Heron,Ardea cinerea,Ardeidae (Herons)
Black-headed Heron,Ardea melanocephala,Ardeidae (Herons)
Goliath Heron,Ardea goliath,Ardeidae (Herons)
Purple Heron,Ardea purpurea,Ardeidae (Herons)
Great White Egret,Ardea alba,Ardeidae (Herons)
Yellow-billed Egret,Ardea brachyrhyncha,Ardeidae (Herons)
Black Heron,Egretta ardesiaca,Ardeidae (Herons)
Slaty Egret,Egretta vinaceigula,Ardeidae (Herons)
Little Egret,Egretta garzetta,Ardeidae (Herons)
Hamerkop,Scopus umbretta,Scopidae (Hamerkop)
Pink-backed Pelican,Pelecanus rufescens,Pelecanidae (Pelicans)
Great White Pelican,Pelecanus onocrotalus,Pelecanidae (Pelicans)
Great Frigatebird,Fregata minor,Fregatidae (Frigatebirds)
Cape Gannet,Morus capensis,"Sulidae (Gannets, Boobies)"
Crowned Cormorant,Microcarbo coronatus,Phalacrocoracidae (Cormorants)
Long-tailed Cormorant,Microcarbo africanus,Phalacrocoracidae (Cormorants)
Imperial Shag,Leucocarbo atriceps,Phalacrocoracidae (Cormorants)
Great Cormorant,Phalacrocorax carbo,Phalacrocoracidae (Cormorants)
