common_name,scientific_name,image_src
Rufous-cheeked Nightjar,Caprimulgus rufigena,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2403/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Fiery-necked Nightjar,Caprimulgus pectoralis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/31093/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Swamp Nightjar,Caprimulgus natalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2421/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Freckled Nightjar,Caprimulgus tristigma,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2425/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Mozambique Nightjar,Caprimulgus fossii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2432/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Pennant-winged Nightjar,Caprimulgus vexillarius,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2434/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Mottled Spinetail,Telacanthura ussheri,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1744/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Böhm's Spinetail,Neafrapus boehmi,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1749/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Palm Swift,Cypsiurus parvus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1099010/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Alpine Swift,Tachymarptis melba,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1773/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-rumped Swift,Apus caffer,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1791/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
