common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
Hudsonian Godwit,Limosa haemastica,Hudsonbaaigriet,https://cdn.sabirds.app/hudsonian-godwit/1_medium.webp,Godwits,Large,Wetland,"['Brown', 'Grey', 'White']"
Icterine Warbler,Hippolais icterina,Spotsanger,https://cdn.sabirds.app/icterine-warbler/1_medium.webp,Warblers,Tiny,Woodland,"['Yellow', 'Green', 'Grey']"
Indian Peafowl,Pavo cristatus,Makpou,https://cdn.sabirds.app/indian-peafowl/1_medium.webp,Pheasants,Very Large,Forest,"['Brown', 'Grey', 'White']"
Indian Yellow-nosed Albatross,Thalassarche carteri,Indiese Geelneusalbatros (-malmok),https://cdn.sabirds.app/indian-yellow-nosed-albatross/1_medium.webp,Albatrosses,Very Large,Marine,"['Yellow', 'White', 'Black', 'Grey']"
Jackal Buzzard,Buteo rufofuscus,Rooiborsjakkalsvoël,https://cdn.sabirds.app/jackal-buzzard/1_medium.webp,Buzzards,Very Large,Grassland,"['Brown', 'Orange', 'White']"
Jacobin Cuckoo,Clamator jacobinus,Bontnuwejaarsvoël,https://cdn.sabirds.app/jacobin-cuckoo/1_medium.webp,Cuckoos,Medium,Grassland,"['Black', 'White']"
Jameson's Firefinch,Lagonosticta rhodopareia,Jamesonse Vuurvinkie,https://cdn.sabirds.app/jamesons-firefinch/1_medium.webp,Firefinches,Tiny,Fynbos,"['Red', 'Brown']"
Kalahari Scrub Robin,Cercotrichas paena,Kalahariwipstert,https://cdn.sabirds.app/kalahari-scrub-robin/1_medium.webp,Scrub-Robins,Small,Fynbos,"['Brown', 'White']"
Karoo Chat,Emarginata schlegelii,Karoospekvreter,,Chats,Small,Fynbos,"['Grey', 'Brown']"
Karoo Eremomela,Eremomela gregalis,Groenbossanger,,Eremomelas,Tiny,Fynbos,"['Grey', 'Yellow']"
Karoo Korhaan,Eupodotis vigorsii,Vaalkorhaan,,Bustards,Very Large,Grassland,"['Brown', 'Grey', 'Black']"
Karoo Lark,Calendulauda albescens,Karoolewerik,,Larks,Small,Karoo,"['Brown', 'Buff']"
Karoo Long-billed Lark,Certhilauda subcoronata,Karoolangbeklewerik,,Larks,Small,Fynbos,"['Brown', 'Buff']"
Karoo Prinia,Prinia maculosa,Karoolangstertjie,,Prinias,Tiny,Fynbos,"['Grey', 'Brown', 'White']"
Karoo Scrub Robin,Cercotrichas coryphoeus,Slangverklikker,,Scrub-Robins,Small,Savanna,"['Brown', 'Grey', 'White']"
