,Common name,Binomial
408,Pallid harrier,Circus macrourus
409,Montagu's harrier,Circus pygargus
410,African goshawk,Accipiter tachiro
411,Shikra,Accipiter badius
412,Little sparrowhawk,Accipiter minullus
413,Ovambo sparrowhawk,Accipiter ovampensis
414,Rufous-breasted sparrowhawk,Accipiter rufiventris
415,Black goshawk,Accipiter melanoleucus
416,Black kite,Milvus migrans
417,Yellow-billed kite,Milvus aegyptius
418,African fish-eagle,Haliaeetus vocifer
419,Common buzzard,Buteo buteo
420,Forest buzzard,Buteo trizonatus
421,Long-legged buzzard,Buteo rufinus
422,Red-necked buzzard,Buteo auguralis
423,Augur buzzard,Buteo augur
424,Jackal buzzard,Buteo rufofuscus
425,African grass-owl,Tyto capensis
426,Barn owl,Tyto alba
427,African scops-owl,Otus senegalensis
428,Southern white-faced owl,Ptilopsis granti
429,Cape eagle-owl,Bubo capensis
430,Spotted eagle-owl,Bubo africanus
431,Verreaux's eagle-owl,Bubo lacteus
432,Pel's fishing-owl,Scotopelia peli
433,Pearl-spotted owlet,Glaucidium perlatum
434,African barred owlet,Glaucidium capense
435,African wood-owl,Strix woodfordii
436,Marsh owl,Asio capensis
437,Speckled mousebird,Colius striatus
438,White-backed mousebird,Colius colius
439,Red-faced mousebird,Urocolius indicus
440,Narina trogon,Apaloderma narina
441,Hoopoe,Upupa africana
442,Green woodhoopoe,Phoeniculus purpureus
443,Common scimitarbill,Rhinopomastus cyanomelas
444,Southern ground-hornbill,Bucorvus leadbeateri
445,Crowned hornbill,Lophoceros alboterminatus
446,African grey hornbill,Lophoceros nasutus
447,Southern yellow-billed hornbill,Tockus leucomelas
448,Southern red-billed hornbill,Tockus rufirostris
449,Trumpeter hornbill,Bycanistes bucinator
450,Half-collared kingfisher,Alcedo semitorquata
451,Malachite kingfisher,Corythornis cristatus
452,African pygmy kingfisher,Ispidina picta
453,Gray-headed kingfisher,Halcyon leucocephala
454,Woodland kingfisher,Halcyon senegalensis
455,Mangrove kingfisher,Halcyon senegaloides
456,Brown-hooded kingfisher,Halcyon albiventris
457,Striped kingfisher,Halcyon chelicuti
458,Giant kingfisher,Megaceryle maxima
459,Pied kingfisher,Ceryle rudis
460,White-fronted bee-eater,Merops bullockoides
461,Little bee-eater,Merops pusillus
462,Swallow-tailed bee-eater,Merops hirundineus
463,White-throated bee-eater,Merops albicollis
464,Blue-cheeked bee-eater,Merops persicus
465,Madagascar bee-eater,Merops superciliosus
466,European bee-eater,Merops apiaster
467,Southern carmine bee-eater,Merops nubicoides
468,European roller,Coracias garrulus
469,Lilac-breasted roller,Coracias caudatus
470,Racket-tailed roller,Coracias spatulatus
471,Rufous-crowned roller,Coracias naevius
472,Broad-billed roller,Eurystomus glaucurus
473,Crested barbet,Trachyphonus vaillantii
474,White-eared barbet,Stactolaema leucotis
475,Green barbet,Stactolaema olivacea
476,Yellow-rumped tinkerbird,Pogoniulus bilineatus
477,Red-fronted tinkerbird,Pogoniulus pusillus
478,Yellow-fronted tinkerbird,Pogoniulus chrysoconus
479,Pied barbet,Tricholaema leucomelas
480,Black-collared barbet,Lybius torquatus
481,Wahlberg's honeyguide,Prodotiscus regulus
482,Lesser honeyguide,Indicator minor
483,Scaly-throated honeyguide,Indicator variegatus
484,Greater honeyguide,Indicator indicator
485,Rufous-necked wryneck,Jynx ruficollis
486,Cardinal woodpecker,Chloropicus fuscescens
487,Bearded woodpecker,Chloropicus namaquus
488,Olive woodpecker,Chloropicus griseocephalus
489,Ground woodpecker,Geocolaptes olivaceus
490,Bennett's woodpecker,Campethera bennettii
491,Knysna woodpecker,Campethera notata
492,Golden-tailed woodpecker,Campethera abingoni
493,Pygmy falcon,Polihierax semitorquatus
494,Lesser kestrel,Falco naumanni
495,Rock kestrel,Falco rupicolus
496,Greater kestrel,Falco rupicoloides
497,Dickinson's kestrel,Falco dickinsoni
498,Red-necked falcon,Falco chicquera
499,Red-footed falcon,Falco vespertinus
500,Amur falcon,Falco amurensis
501,Eleonora's falcon,Falco eleonorae
502,Sooty falcon,Falco concolor
503,Eurasian hobby,Falco subbuteo
504,African hobby,Falco cuvierii
505,Lanner falcon,Falco biarmicus
506,Peregrine falcon,Falco peregrinus
507,Taita falcon,Falco fasciinucha
508,Rose-ringed parakeet,Psittacula krameri
509,Rosy-faced lovebird,Agapornis roseicollis
510,Brown-necked parrot,Poicephalus fuscicollis
511,Cape parrot,Poicephalus robustus
512,Meyer's parrot,Poicephalus meyeri
513,Brown-headed parrot,Poicephalus cryptoxanthus
514,African broadbill,Smithornis capensis
515,African pitta,Pitta angolensis
516,Gray cuckooshrike,Coracina caesia
517,White-breasted cuckooshrike,Coracina pectoralis
518,Black cuckooshrike,Campephaga flava
519,Eurasian golden oriole,Oriolus oriolus
520,African golden oriole,Oriolus auratus
521,African black-headed oriole,Oriolus larvatus
522,Black-throated wattle-eye,Platysteira peltata
523,Cape batis,Batis capensis
524,Woodward's batis,Batis fratrum
525,Chinspot batis,Batis molitor
526,Pririt batis,Batis pririt
527,White helmetshrike,Prionops plumatus
528,Retz's helmetshrike,Prionops retzii
529,Chestnut-fronted helmetshrike,Prionops scopifrons
530,Black-and-white shrike-flycatcher,Bias musicus
531,Brubru,Nilaus afer
532,Black-backed puffback,Dryoscopus cubla
533,Black-crowned tchagra,Tchagra senegalus
534,Brown-crowned tchagra,Tchagra australis
535,Southern tchagra,Tchagra tchagra
536,Tropical boubou,Laniarius major
537,Southern boubou,Laniarius ferrugineus
538,Crimson-breasted gonolek,Laniarius atrococcineus
539,Bokmakierie,Telophorus zeylonus
540,Sulphur-breasted bushshrike,Telophorus sulfureopectus
541,Olive bushshrike,Telophorus olivaceus
542,Black-fronted bushshrike,Telophorus nigrifrons
543,Four-coloured bushshrike,Telophorus viridis
544,Gray-headed bushshrike,Malaconotus blanchoti
545,Common square-tailed drongo,Dicrurus ludwigii
546,Fork-tailed drongo,Dicrurus adsimilis
547,African crested-flycatcher,Trochocercus cyanomelas
548,African paradise-flycatcher,Terpsiphone viridis
549,Red-backed shrike,Lanius collurio
550,Red-tailed shrike,Lanius phoenicuroides
551,Isabelline shrike,Lanius isabellinus
552,Lesser grey shrike,Lanius minor
553,Magpie shrike,Lanius melanoleucus
554,Southern fiscal,Lanius collaris
555,Woodchat shrike,Lanius senator
556,White-crowned shrike,Eurocephalus anguitimens
557,House crow,Corvus splendens
558,Cape crow,Corvus capensis
559,Pied crow,Corvus albus
560,White-necked raven,Corvus albicollis
561,Cape rockjumper,Chaetops frenatus
562,Drakensberg rockjumper,Chaetops aurantius
563,Southern hyliota,Hyliota australis
564,Fairy flycatcher,Stenostira scita
565,Southern black-tit,Melaniparus niger
566,Ashy tit,Melaniparus cinerascens
567,Gray tit,Melaniparus afer
568,African penduline-tit,Anthoscopus caroli
569,Southern penduline-tit,Anthoscopus minutus
570,Spike-heeled lark,Chersomanes albofasciata
571,Short-clawed lark,Certhilauda chuana
572,Karoo long-billed lark,Certhilauda subcoronata
573,Eastern long-billed lark,Certhilauda semitorquata
574,Cape lark,Certhilauda curvirostris
575,Dusky lark,Pinarocorys nigricans
576,Black-eared sparrow-lark,Eremopterix australis
577,Chestnut-backed sparrow-lark,Eremopterix leucotis
578,Gray-backed sparrow-lark,Eremopterix verticalis
579,Sabota lark,Calendulauda sabota
580,Fawn-coloured lark,Calendulauda africanoides
581,Karoo lark,Calendulauda albescens
582,Red lark,Calendulauda burra
583,Barlow's lark,Calendulauda barlowi
584,Rudd's lark,Heteromirafra ruddi
585,Cape clapper lark,Mirafra apiata
586,Eastern clapper lark,Mirafra fasciolata
587,Rufous-naped lark,Mirafra africana
588,Flappet lark,Mirafra rufocinnamomea
589,Monotonous lark,Mirafra passerina
590,Latakoo lark,Mirafra cheniana
591,Red-capped lark,Calandrella cinerea
592,Stark's lark,Spizocorys starki
593,Sclater's lark,Spizocorys sclateri
594,Pink-billed lark,Spizocorys conirostris
595,Botha's lark,Spizocorys fringillaris
596,Large-billed lark,Galerida magnirostris
597,Eastern nicator,Nicator gularis
598,Cape crombec,Sylvietta rufescens
599,Cape grassbird,Sphenoeacus afer
600,Victorin's warbler,Cryptillas victorini
601,Yellow-bellied eremomela,Eremomela icteropygialis
602,Greencap eremomela,Eremomela scotops
603,Yellow-rumped eremomela,Eremomela gregalis
604,Burnt-neck eremomela,Eremomela usticollis
605,Namaqua warbler,Phragmacia substriata
606,Stierling's wren-warbler,Calamonastes stierlingi
607,Barred wren-warbler,Calamonastes fasciolatus
608,Green-backed camaroptera,Camaroptera brachyura
609,Bar-throated apalis,Apalis thoracica
610,Yellow-breasted apalis,Apalis flavida
611,Rudd's apalis,Apalis ruddi
612,Tawny-flanked prinia,Prinia subflava
613,Black-chested prinia,Prinia flavicans
614,Karoo prinia,Prinia maculosa
615,Drakensberg prinia,Prinia hypoxantha
616,Kopje warbler,Euryptila subcinnamomea
617,Rufous-eared warbler,Malcorus pectoralis
618,Red-faced cisticola,Cisticola erythrops
619,Rock-loving cisticola,Cisticola aberrans
620,Rattling cisticola,Cisticola chiniana
621,Tinkling cisticola,Cisticola rufilatus
622,Red-headed cisticola,Cisticola subruficapilla
623,Wailing cisticola,Cisticola lais
624,Rufous-winged cisticola,Cisticola galactotes
625,Levaillant's cisticola,Cisticola tinniens
626,Croaking cisticola,Cisticola natalensis
627,Piping cisticola,Cisticola fulvicapilla
628,Zitting cisticola,Cisticola juncidis
629,Desert cisticola,Cisticola aridulus
630,Cloud cisticola,Cisticola textrix
631,Pale-crowned cisticola,Cisticola cinnamomeus
632,Wing-snapping cisticola,Cisticola ayresii
633,African yellow-warbler,Iduna natalensis
634,Upcher's warbler,Hippolais languida
635,Olive-tree warbler,Hippolais olivetorum
636,Icterine warbler,Hippolais icterina
637,Sedge warbler,Acrocephalus schoenobaenus
638,Marsh warbler,Acrocephalus palustris
639,Common reed warbler,Acrocephalus scirpaceus
640,Basra reed warbler,Acrocephalus griseldis
641,Lesser swamp warbler,Acrocephalus gracilirostris
642,Great reed warbler,Acrocephalus arundinaceus
643,River warbler,Locustella fluviatilis
644,Fan-tailed grassbird,Catriscus brevirostris
645,Knysna warbler,Bradypterus sylvaticus
646,Barratt's warbler,Bradypterus barratti
647,Little rush warbler,Bradypterus baboecala
648,Plain martin,Riparia paludicola
649,Bank swallow,Riparia riparia
650,Banded martin,Neophedina cincta
651,Mascarene martin,Phedina borbonica
652,Rock martin,Ptyonoprogne fuligula
653,Barn swallow,Hirundo rustica
654,White-throated swallow,Hirundo albigularis
655,Wire-tailed swallow,Hirundo smithii
656,Pearl-breasted swallow,Hirundo dimidiata
657,Montane blue swallow,Hirundo atrocaerulea
658,Greater striped swallow,Cecropis cucullata
659,Red-rumped swallow,Cecropis daurica
660,Lesser striped swallow,Cecropis abyssinica
661,Rufous-chested swallow,Cecropis semirufa
662,Mosque swallow,Cecropis senegalensis
